FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
63,63.5,0.5,0.018723499,3.9215487e-05,0.04106601,0.0028534243,0.0049363417,0.5763756,25.278126,6.403461e-05,0.34389287,1.8610918e-06,3.1967842e-13,0.0519227,0.13839473,1.0561873,0.031350475,0.020033529,0.10180262,2.9256928
64,64.5,0.5,0.021337988,4.373715e-05,0.048076376,0.0022093197,0.0054561105,0.6591825,26.703684,6.926673e-05,0.34847975,2.6177868e-06,3.8837165e-13,0.055257525,0.14007698,1.141535,0.033812698,0.016996833,0.10873076,3.1601272
65,65.5,0.5,0.01852778,2.7865024e-05,0.041897777,0.00433702,0.00550183,0.554462,24.92215,7.18466e-05,0.3158517,2.7878875e-06,4.1904316e-13,0.0483601,0.11606606,1.0694928,0.029914586,0.017004358,0.10281676,2.9178948
66,66.5,0.5,0.01831393,3.1021904e-05,0.041967392,0.0038077289,0.0053661354,0.56900513,25.19648,7.187761e-05,0.32373586,2.6855082e-06,4.135076e-13,0.04886623,0.11086304,1.0764053,0.030003622,0.018744692,0.10655125,2.9320655
67,67.5,0.5,0.020216592,4.184259e-05,0.044220846,0.0026698476,0.005247089,0.67496294,26.033134,6.941353e-05,0.34942335,2.303592e-06,3.6714777e-13,0.05211474,0.12309288,1.0508659,0.030208236,0.019345839,0.11073704,2.8736115
68,68.5,0.5,0.020103462,4.0795883e-05,0.04001545,0.002803236,0.004893181,0.6854158,25.435854,6.669906e-05,0.35057682,1.705949e-06,3.1804767e-13,0.049024582,0.13334054,1.0711687,0.029331654,0.026260866,0.12998651,2.9549248
69,69.5,0.5,0.020707473,3.339067e-05,0.033101737,0.0028048072,0.0045292266,0.6837512,23.856113,6.2614774e-05,0.34576738,1.1274798e-06,2.6684468e-13,0.041851334,0.12912568,1.0210165,0.02755447,0.044643268,0.16472434,2.868771
70,70.5,0.5,0.025106745,4.863348e-05,0.030176554,0.0016249301,0.0041625206,0.70507187,23.147112,5.7178062e-05,0.3479148,7.065882e-07,1.8052609e-13,0.03602366,0.13044058,0.9629462,0.028485851,0.06537396,0.21381891,2.8164768
71,71.5,0.5,0.030401066,6.176608e-05,0.02918869,0.0016651271,0.004161727,0.67593145,22.253202,5.597482e-05,0.33476388,5.7158326e-07,1.4620912e-13,0.03218666,0.12376938,0.94767576,0.029515792,0.07928009,0.25589418,2.850472
72,72.5,0.5,0.035203446,8.129072e-05,0.030254936,0.0017636117,0.0042036525,0.6543938,22.158932,5.6538483e-05,0.32795292,5.5592926e-07,1.3683697e-13,0.030990575,0.11644535,0.93596786,0.030473113,0.08911371,0.29211494,2.881838
